EntityName,EntityID,Time,LocationName,LocationID
Operator 2,5,502,CentralBuffer_Location,0
Operator 1,4,503,CentralBuffer_Location,0
Manual worker 2,8,503,CentralBuffer_Location,0
Manual worker 1,7,503,CentralBuffer_Location,0
Operator 2,5,503,M4-02_(FR4_02)_Location,4
Operator 1,4,504,UMC750_(M5-03)_Location,8
Manual worker 2,8,504,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,505,M4-02_(FR4_02)_Location,4
Manual worker 1,7,505,CentralBuffer_Location,0
Operator 1,4,506,UMC750_(M5-03)_Location,8
Manual worker 2,8,506,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,506,CentralBuffer_Location,0
Manual worker 1,7,506,CentralBuffer_Location,0
Operator 1,4,507,CentralBuffer_Location,0
Manual worker 2,8,507,CentralBuffer_Location,0
Operator 2,5,507,CentralBuffer_Location,0
Manual worker 1,7,507,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,508,CentralBuffer_Location,0
Manual worker 2,8,508,CentralBuffer_Location,0
Operator 2,5,508,M3-01_(FR3_01)_Location,1
Manual worker 1,7,509,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,509,M5-02_(FR5_02)_Location,7
Manual worker 2,8,509,M4-01_(FR4_01)_Location,3
Operator 2,5,510,M3-01_(FR3_01)_Location,1
Manual worker 1,7,510,CentralBuffer_Location,0
Operator 1,4,511,M5-02_(FR5_02)_Location,7
Manual worker 2,8,511,M4-01_(FR4_01)_Location,3
Operator 2,5,511,CentralBuffer_Location,0
Manual worker 1,7,511,CentralBuffer_Location,0
Operator 1,4,512,CentralBuffer_Location,0
Manual worker 2,8,512,CentralBuffer_Location,0
Operator 2,5,512,CentralBuffer_Location,0
Manual worker 1,7,512,M3-02_(FR3_02)_Location,2
Operator 1,4,513,CentralBuffer_Location,0
Manual worker 2,8,513,CentralBuffer_Location,0
Operator 2,5,513,M3-01_(FR3_01)_Location,1
Manual worker 1,7,514,M3-02_(FR3_02)_Location,2
Operator 1,4,514,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,514,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,515,M3-01_(FR3_01)_Location,1
Manual worker 1,7,515,CentralBuffer_Location,0
Operator 1,4,516,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,516,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,516,CentralBuffer_Location,0
Manual worker 1,7,516,CentralBuffer_Location,0
Operator 1,4,517,CentralBuffer_Location,0
Manual worker 2,8,517,CentralBuffer_Location,0
Operator 2,5,517,CentralBuffer_Location,0
Manual worker 1,7,517,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,518,CentralBuffer_Location,0
Manual worker 2,8,518,CentralBuffer_Location,0
Operator 2,5,518,M3-01_(FR3_01)_Location,1
Manual worker 1,7,519,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 1,4,519,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,519,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,520,M3-01_(FR3_01)_Location,1
Manual worker 1,7,520,CentralBuffer_Location,0
Operator 1,4,521,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,521,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Operator 2,5,521,CentralBuffer_Location,0
Manual worker 1,7,521,CentralBuffer_Location,0
Operator 1,4,522,CentralBuffer_Location,0
Manual worker 2,8,522,CentralBuffer_Location,0
Operator 2,5,522,CentralBuffer_Location,0
