JobID,Quantity,Deadline,OrderID,ProductID,OperationID
949,100.0,2025-08-22,117,231,707
950,100.0,2025-08-22,117,231,706
973,65.0,2025-08-29,16,149,462
974,65.0,2025-08-29,16,149,461
975,65.0,2025-08-29,16,149,460
976,65.0,2025-08-29,16,149,459
977,65.0,2025-08-29,16,149,458
1066,100.0,2025-09-29,99,29,76
1067,100.0,2025-09-29,99,29,74
1068,100.0,2025-09-29,99,29,73
1069,100.0,2025-09-29,99,29,72
1070,100.0,2025-09-29,99,29,72
1071,100.0,2025-09-29,99,29,71
1162,125.0,2025-10-03,0,19,51
1163,125.0,2025-10-03,0,19,49
1164,125.0,2025-10-03,0,19,49
1165,125.0,2025-10-03,0,19,48
1166,125.0,2025-10-03,0,19,48
1167,125.0,2025-10-03,0,19,47
1233,150.0,2025-10-01,22,27,70
1234,150.0,2025-10-01,22,27,68
1235,150.0,2025-10-01,22,27,67
1236,150.0,2025-10-01,22,27,67
1237,150.0,2025-10-01,22,27,66
1271,25.0,2025-09-03,114,251,771
1272,25.0,2025-09-03,114,251,769
1273,25.0,2025-09-03,114,251,768
1274,25.0,2025-09-03,114,251,768
1275,25.0,2025-09-03,114,251,767
1276,25.0,2025-09-03,114,251,767
1277,25.0,2025-09-03,114,251,766
1328,60.0,2025-10-14,13,240,735
1329,60.0,2025-10-14,13,240,733
1330,60.0,2025-10-14,13,240,733
1331,60.0,2025-10-14,13,240,732
1332,60.0,2025-10-14,13,240,732
1333,60.0,2025-10-14,13,240,731
1411,200.0,2025-10-09,60,36,95
1412,200.0,2025-10-09,60,36,93
1413,200.0,2025-10-09,60,36,92
1414,200.0,2025-10-09,60,36,92
1415,200.0,2025-10-09,60,36,91
1504,100.0,2025-10-20,1,38,99
1505,100.0,2025-10-20,1,38,98
1506,100.0,2025-10-20,1,38,97
1507,100.0,2025-10-20,1,38,97
1508,100.0,2025-10-20,1,38,96
1509,1.0,2025-08-19,38,506,1014
1510,1.0,2025-08-21,39,533,1050
1511,1.0,2025-08-19,40,508,1015
1599,150.0,2025-10-17,21,21,56
1600,150.0,2025-10-17,21,21,54
1601,150.0,2025-10-17,21,21,53
1602,150.0,2025-10-17,21,21,53
1603,150.0,2025-10-17,21,21,52
1620,275.0,2025-08-28,24,31,81
1621,275.0,2025-08-28,24,31,79
1622,275.0,2025-08-28,24,31,78
1623,275.0,2025-08-28,24,31,77
1634,10.0,2025-08-21,44,123,830
1635,10.0,2025-08-21,44,123,829
1636,10.0,2025-08-21,44,123,828
1637,10.0,2025-08-21,44,123,827
1638,10.0,2025-08-21,44,123,826
1639,10.0,2025-08-21,44,123,825
1640,10.0,2025-08-21,44,123,362
1641,10.0,2025-08-21,44,123,361
1642,10.0,2025-08-21,44,123,360
1643,10.0,2025-08-21,44,123,359
1644,10.0,2025-08-21,44,123,358
1645,10.0,2025-08-21,44,123,357
1740,100.0,2025-10-02,23,29,76
1741,100.0,2025-10-02,23,29,74
1742,100.0,2025-10-02,23,29,73
1743,100.0,2025-10-02,23,29,72
1744,100.0,2025-10-02,23,29,72
1745,100.0,2025-10-02,23,29,71
1894,100.0,2025-10-28,25,33,87
1895,100.0,2025-10-28,25,33,85
1896,100.0,2025-10-28,25,33,84
1897,100.0,2025-10-28,25,33,83
1898,100.0,2025-10-28,25,33,83
1899,100.0,2025-10-28,25,33,82
1908,150.0,2025-08-21,49,54,158
1909,150.0,2025-08-21,49,54,157
1910,150.0,2025-08-21,49,54,156
1911,150.0,2025-08-21,49,54,156
1912,150.0,2025-08-21,49,54,155
1913,150.0,2025-08-21,49,54,155
1914,150.0,2025-08-21,49,54,154
1941,50.0,2025-08-27,4,284,819
1942,50.0,2025-08-27,4,284,817
1943,50.0,2025-08-27,4,284,816
1944,50.0,2025-08-27,4,284,815
1945,50.0,2025-08-27,4,284,814
1972,50.0,2025-08-27,7,6,35
1973,50.0,2025-08-27,7,6,33
1974,50.0,2025-08-27,7,6,32
1975,50.0,2025-08-27,7,6,31
1976,50.0,2025-08-27,7,6,30
2004,25.0,2025-09-02,50,58,168
2005,25.0,2025-09-02,50,58,167
2006,25.0,2025-09-02,50,58,166
2007,25.0,2025-09-02,50,58,165
2008,25.0,2025-09-02,50,58,164
2016,10.0,2025-08-25,14,64,183
2017,10.0,2025-08-25,14,64,182
2018,10.0,2025-08-25,14,64,181
2082,50.0,2025-09-22,2,516,1028
2083,50.0,2025-09-22,2,516,1027
2084,50.0,2025-09-22,2,516,1026
2085,50.0,2025-09-22,2,516,1025
2086,50.0,2025-09-22,2,516,1024
2134,73.0,2025-09-05,9,5,29
2135,73.0,2025-09-05,9,5,27
2136,73.0,2025-09-05,9,5,26
2137,73.0,2025-09-05,9,5,25
2138,73.0,2025-09-05,9,5,24
2189,50.0,2025-09-08,11,2,11
2190,50.0,2025-09-08,11,2,9
2191,50.0,2025-09-08,11,2,8
2192,50.0,2025-09-08,11,2,7
2193,50.0,2025-09-08,11,2,6
2227,25.0,2025-09-03,28,251,771
2228,25.0,2025-09-03,28,251,769
2229,25.0,2025-09-03,28,251,768
2230,25.0,2025-09-03,28,251,768
2231,25.0,2025-09-03,28,251,767
2232,25.0,2025-09-03,28,251,767
2233,25.0,2025-09-03,28,251,766
2385,75.0,2025-11-03,27,181,549
2386,75.0,2025-11-03,27,181,547
2387,75.0,2025-11-03,27,181,546
2388,75.0,2025-11-03,27,181,545
2389,75.0,2025-11-03,27,181,545
2390,75.0,2025-11-03,27,181,544
2444,73.0,2025-09-09,8,4,23
2445,73.0,2025-09-09,8,4,21
2446,73.0,2025-09-09,8,4,20
2447,73.0,2025-09-09,8,4,19
2448,73.0,2025-09-09,8,4,18
2499,50.0,2025-09-08,10,3,17
2500,50.0,2025-09-08,10,3,15
2501,50.0,2025-09-08,10,3,14
2502,50.0,2025-09-08,10,3,13
2503,50.0,2025-09-08,10,3,12
2616,10.0,2025-10-30,47,95,267
2617,10.0,2025-10-30,47,95,266
2618,10.0,2025-10-30,47,95,265
2619,10.0,2025-10-30,47,95,265
2620,10.0,2025-10-30,47,95,264
2621,10.0,2025-10-30,47,95,263
2746,500.0,2025-11-07,113,221,685
2747,500.0,2025-11-07,113,221,684
2748,500.0,2025-11-07,113,221,683
2749,500.0,2025-11-07,113,221,683
2750,500.0,2025-11-07,113,221,682
2751,500.0,2025-11-07,113,221,681
2752,500.0,2025-11-07,113,221,680
2753,500.0,2025-11-07,113,221,679
2754,500.0,2025-11-07,113,221,679
2755,500.0,2025-11-07,113,221,678
2774,4.0,2025-09-05,126,367,851
2775,4.0,2025-09-05,126,367,850
2776,4.0,2025-09-05,126,367,850
2913,36.0,2025-11-05,3,150,468
2914,36.0,2025-11-05,3,150,467
2915,36.0,2025-11-05,3,150,466
2916,36.0,2025-11-05,3,150,466
2917,36.0,2025-11-05,3,150,465
2918,36.0,2025-11-05,3,150,465
2919,36.0,2025-11-05,3,150,464
2920,36.0,2025-11-05,3,150,464
2921,36.0,2025-11-05,3,150,463
3076,52.0,2025-11-12,15,148,457
3077,52.0,2025-11-12,15,148,456
3078,52.0,2025-11-12,15,148,455
3079,52.0,2025-11-12,15,148,455
3080,52.0,2025-11-12,15,148,454
3081,52.0,2025-11-12,15,148,454
3082,52.0,2025-11-12,15,148,453
3083,52.0,2025-11-12,15,148,453
3084,52.0,2025-11-12,15,148,452
3091,100.0,2025-08-22,12,80,219
3092,100.0,2025-08-22,12,80,218
3093,100.0,2025-08-22,12,80,217
3094,100.0,2025-08-22,12,80,216
3095,34.0,2025-08-29,20,504,1013
3096,1.0,2025-08-29,37,414,896
3097,1.0,2025-08-29,37,414,896
3098,1.0,2025-08-29,37,414,896
3120,42.0,2025-09-19,55,486,985
3121,42.0,2025-09-19,55,486,985
3122,42.0,2025-09-19,55,486,985
3123,42.0,2025-09-19,55,486,984
3124,42.0,2025-09-19,55,486,984
3125,42.0,2025-09-19,55,486,984
3126,42.0,2025-09-19,55,486,983
3127,24.0,2025-10-17,116,480,971
3128,24.0,2025-10-17,116,480,971
3129,24.0,2025-10-17,116,480,971
3130,24.0,2025-10-17,116,480,970
