OperationID,Name,ProcessTime,Predecessor
149,Material prep (ZGN_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.016666666666666666,{}
150,Milling (FR4-01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.4166666666666667,Material prep (ZGN_01)_[1001823A]  ADJ.PLATE 2 OBJ.
151,Milling (FR3_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.08333333333333333,Milling (FR4-01)_[1001823A]  ADJ.PLATE 2 OBJ.
152,BW - Benchwork (BKW_01)_[1001823A]  ADJ.PLATE 2 OBJ.,0.03333333333333333,Milling (FR3_01)_[1001823A]  ADJ.PLATE 2 OBJ.
153,Packaging (VERP_P)_[1001823A]  ADJ.PLATE 2 OBJ.,0.016666666666666666,BW - Benchwork (BKW_01)_[1001823A]  ADJ.PLATE 2 OBJ.
154,Material prep (ZGN_01)_[1011113A]  Cord Bracket,0.016666666666666666,{}
155,Milling (FR4-01)_[1011113A]  Cord Bracket,0.08333333333333333,Material prep (ZGN_01)_[1011113A]  Cord Bracket
156,Milling (FR4-01)_[1011113A]  Cord Bracket_2,0.03333333333333333,Milling (FR4-01)_[1011113A]  Cord Bracket
157,BW - Benchwork (BKW_01)_[1011113A]  Cord Bracket,0.03333333333333333,Milling (FR4-01)_[1011113A]  Cord Bracket_2
158,Packaging (VERP_P)_[1011113A]  Cord Bracket,0.016666666666666666,BW - Benchwork (BKW_01)_[1011113A]  Cord Bracket
159,"Material prep (ZGN_01)_[1012609B]  CLAMP,PIPE,NIC",0.016666666666666666,{}
160,"Milling (FR4-01)_[1012609B]  CLAMP,PIPE,NIC",0.25,"Material prep (ZGN_01)_[1012609B]  CLAMP,PIPE,NIC"
161,"Milling (FR3_02)_[1012609B]  CLAMP,PIPE,NIC",0.16666666666666666,"Milling (FR4-01)_[1012609B]  CLAMP,PIPE,NIC"
162,"BW - Benchwork (BKW_01)_[1012609B]  CLAMP,PIPE,NIC",0.03333333333333333,"Milling (FR3_02)_[1012609B]  CLAMP,PIPE,NIC"
163,"Packaging (VERP_P)_[1012609B]  CLAMP,PIPE,NIC",0.016666666666666666,"BW - Benchwork (BKW_01)_[1012609B]  CLAMP,PIPE,NIC"
164,Material prep (ZGN_01)_[1082700B]  Block cooling water TMP,0.016666666666666666,{}
165,Milling (FR5_01)_[1082700B]  Block cooling water TMP,0.6,Material prep (ZGN_01)_[1082700B]  Block cooling water TMP
166,Milling (FR3_01)_[1082700B]  Block cooling water TMP,0.08333333333333333,Milling (FR5_01)_[1082700B]  Block cooling water TMP
167,BW - Benchwork (BKW_01)_[1082700B]  Block cooling water TMP,0.08333333333333333,Milling (FR3_01)_[1082700B]  Block cooling water TMP
168,Packaging (VERP_P)_[1082700B]  Block cooling water TMP,0.016666666666666666,BW - Benchwork (BKW_01)_[1082700B]  Block cooling water TMP
169,Picking (UITG_M)_[1200745A]  base wet stem quatro,0.0,{}
170,Milling (FR5_01)_[1200745A]  base wet stem quatro,0.4166666666666667,Picking (UITG_M)_[1200745A]  base wet stem quatro
171,Milling (FR3_01)_[1200745A]  base wet stem quatro,0.1,Milling (FR5_01)_[1200745A]  base wet stem quatro
172,Milling (FR3_01)_[1200745A]  base wet stem quatro_2,0.06666666666666667,Milling (FR3_01)_[1200745A]  base wet stem quatro
173,BW - Benchwork (BKW_01)_[1200745A]  base wet stem quatro,0.13333333333333333,Milling (FR3_01)_[1200745A]  base wet stem quatro_2
174,Sandblasting_[1200745A]  base wet stem quatro,75.0,BW - Benchwork (BKW_01)_[1200745A]  base wet stem quatro
