ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
145,4022-637-24142,[4022-637-24142]  HINGE BLOCK FIXED RF,mm,3000,0.0,,
146,4022-637-24191,[4022-637-24191]  HINGE BLOCK RF,mm,3000,0.0,50,
147,4022-637-29291,[4022-637-29291]  Hinge Block rm,mm,3000,0.0,30,
148,4022-637-29301,[4022-637-29301]  Hinge Block Fixed RM,mm,3000,0.0,,52
149,4022-637-29381,[4022-637-29381]  Hinge Block LM,mm,3000,0.0,,65
150,4022-637-29391,[4022-637-29391]  Hinge block fixed LM,mm,3000,0.0,,36
151,4022-637-32081,[4022-637-32081]  IH SERVE MECH HINGE BRACKET,,1,0.0,80,
152,4022-637-45782,[4022-637-45782]  Interface hinge block fixed RF,Pcs,1,0.0,50,
153,5601-0000-0002,[5601-0000-0002]  ALU 5083 gzgd plaat 160x80x30,Pcs,1,0.0,50,
154,4022-637-68442,[4022-637-68442]  IH HINGE BRACKET TOP HINGE,mm,3000,0.0,60,
155,5603-0000-0011,[5603-0000-0011]  STAAL S355J2C+C ngl plat 60x40,Pcs,1,0.0,60,
156,4022-639-54042,[4022-639-54042]  YS gripper detect mirro block,mm,3000,0.0,,
157,4022-642-33571,[4022-642-33571]  Support beam LM,Pcs,1,0.0,60,
158,5601-0000-0003,[5601-0000-0003]  ALU 5083 gzgd plaat 465x165x15,Pcs,1,0.0,60,
159,4022-646-17071,[4022-646-17071]  NXE wsmr 2 Fan guide rail,mm,3000,0.0,,
160,5601-0000-0008,[5601-0000-0008]  ALU 6082 T6 plat 40x20,Pcs,1,42000.0,152,
161,4022-646-17131,[4022-646-17131]  Divider plate 6HE Special,mm,3000,0.0,,
162,4022-651-14271,[4022-651-14271]  NXT WS MK41 DC TEMP CONN PLATE,mm,3000,0.0,100,
163,4022-651-55002A,[4022-651-55002A]  Gpas preamp CB Box + cover assy,mm,3000,0.0,100,
164,5602-0000-0023,[5602-0000-0023]  RVS 316L wgw vk 80,Pcs,1,1570.16,100,
