ProductID,ProductNumber,Name,StockLevel,PrescribedBatchsize,ChosenBatchsize
239,BD50-5075-009-E,[BD50-5075-009-E]  bracket,0.0,,24
240,GF3116T006L,[GF3116T006L]  Carriage,0.0,240,240
241,5601-0000-0001,[5601-0000-0001]  ALU 5083 6z gzgd plaat 120x110x15,0.0,240,
242,GO3181T051C,[GO3181T051C]  CID Ventilblock (ASCO),0.0,,
243,5601-0000-0106,[5601-0000-0106]  ALU 5083 gzgd plaat 103x65x25,0.0,,
244,GO3213T056C,[GO3213T056C]  [V] frontdeckel (1841462),0.0,,
245,5601-0000-0004,[5601-0000-0004]  ALU 5083 2z gefr plaat 1730x240x20,0.0,,
246,GO3220T101B,[GO3220T101B]  Ventillblock vxe 1834191,0.0,,
247,GO4910T001B,[GO4910T001B]  Klemmaufnahme,0.0,,
248,M.459800425070/1,[M.459800425070/1]  Spring brake suspension,0.0,,
249,M0216-01-091A,[M0216-01-091A]  Bev. Klitteband,0.0,3000,
250,5601-0000-0111,[5601-0000-0111]  ALU 6060 T66 plat 30x5,0.0,3000,
251,M0216-01-363-B,[M0216-01-363-B]  nul-graden arretsegment,0.0,75,75
252,5603-0000-0018,[5603-0000-0018]  STAAL s235jr wgw plat 70x20,0.0,75,
253,S325F3116200B,[S325F3116200B]  Bracket,0.0,,
254,5601-0000-0105,[5601-0000-0105]  ALU 2024-T351 gecert. 110x15x10,0.0,,
255,4022.622.61092,[4022.622.61092]  RH RED GRIPPER CABLE COVER ,0.0,,
256,4022.684.31831,[4022.684.31831]  RH RED IR SENSOR BRKT ,0.0,,
257,4022.684.32042,[4022.684.32042]  RH RED DYNAMIC STRAIN RELIEF B ,0.0,,31
258,4022.684.32031,[4022.684.32031]  RH RED DYNAMIC STRAIN RELIEF A,0.0,,
259,4022.684.32071,[4022.684.32071]  RH RED STATIC STRAIN RELIEF C,0.0,,
260,4022.704.19302,[4022.704.19302]  RH RED STATIC STRAIN RELIEF A,0.0,,
261,4022.704.19332,[4022.704.19332]  RH RED STATIC STRAIN RELIEF B ,0.0,,
262,4022-637-11831,[4022-637-11831]  HINGE BLOCK FIXED LF,0.0,30,
263,5602-0000-0016,[5602-0000-0016]  RVS 304/304L wgw plat 100x30,0.0,30,
264,4022-706-4754,[4022-706-4754]  EXE REMA TT Clamp block 2,0.0,,
265,5601-0000-0122,[5601-0000-0122]  ALU 6082 T6 vk 90,0.0,,
266,4022-706-47551,[4022-706-47551]  EXE REMA TT Hinge  Block 1,0.0,,
267,4022-706-4756,[4022-706-4756]  EXE REMA TT Hinge Block 2,0.0,,
268,4022-706-4757,[4022-706-4757]  EXE REMA TT Clamp Block 3,0.0,,
269,5601-0000-0123,[5601-0000-0123]  ALU 6082 T6 vk 100,0.0,,
270,4022-451-22761B,[4022-451-22761B]  RS Lock MF-X Spring Block,0.0,,
271,5990-0000-0019,[5990-0000-0019]  Customer supplied material - RS Lock MF-X Spring Block,0.0,,
272,BSIM-00000978 Rev. AC,[BSIM-00000978 Rev. AC]  BOTTOM PLATER RESERVOIR,0.0,,
273,5990-0000-0020,[5990-0000-0020]  Customer supplied material - BOTTOM PLATER RESERVOIR,0.0,,
274,1034719 C,[1034719 C]  KM Heatsink SR5 70X10X25 rev C,0.0,,
275,5990-0000-0021,[5990-0000-0021]  Customer supplied material - KM Heatsink SR5 70X10X25 rev C,0.0,,
276,7187549,[7187549]  4023 005 82993-A.step,0.0,,
277,7188780,[7188780]  4023 005 84622-A.step,0.0,,
278,7189853,[7189853]  4023 005 92341-A.step,0.0,,
279,7190421,[7190421]  4023 005 94211-A.step,0.0,,
280,7191167,[7191167]  4023 005 94911-B.step,0.0,,
281,7192888,[7192888]  4023 006 01751-A.step,0.0,,
282,4022-451-22801B,[4022-451-22801B]  RS Lock MF-X Preload Housing,0.0,,
283,5601-0000-0025,[5601-0000-0025]  ALU 6082 T651 (wgw) gzgd plaat 125x30,1820.0,,
284,BD50-5085-013-C,[BD50-5085-013-C]  bracket,0.0,,50
285,4022-630-65212,[4022-630-65212]  Hinge Block Back,0.0,,
286,7044485,[7044485]  Plaat v4.step,0.0,,
287,7045341,[7045341]  Opname draaischijf v13.step,0.0,,
288,7046329,[7046329]  Steun zwenkcylinder v4.step,0.0,,
289,7047537,[7047537]  Schuivervoet v2.step,0.0,,
290,7048678,[7048678]  Schuiverhouder v4.step,0.0,,
291,7049493,[7049493]  Draaischijf v10.step,0.0,,
292,7050762,[7050762]  Flens draaischijf v5.step,0.0,,
293,368556,[368556]  3428591-66666.step,0.0,,
294,7038211,[7038211]  P02003.STEP,0.0,,
295,7039225,[7039225]  P02004.STEP,0.0,,
296,7055240,"[7055240]  P04200C Housing PRM5 13,5mm inner radius.STEP",0.0,,
297,7056485,[7056485]  P04201.STEP,0.0,,
298,7200886,[7200886]  Tab removal fixture V01.STEP,0.0,,
299,7199773,[7199773]  Machining Clamp-v03.stp,0.0,,
300,7067859,[7067859]  Verlenging vinger M4 v3.step,0.0,,
301,7057581,[7057581]  Adapterplaat klokhouder v10.step,0.0,,
302,7071795,[7071795]  Printbed.STEP,0.0,,
303,7072642,[7072642]  P1501-M8001-00 - Draft - 2024-11-15.stp,0.0,,
304,7214393,[7214393]  PRT-2080_dof_3_hip_r_REV.step,0.0,,
305,7215594,[7215594]  PRT-2088_dof_3_hip_l_REV.step,0.0,,
306,7075941,[7075941]  P1524-M1051-01.STEP,0.0,,
307,7076611,[7076611]  P1524-M1055-04.STEP,0.0,,
308,7207632,[7207632]  slider^sample_holder_october24_v1.sldprt,0.0,,
309,7085715,[7085715]  V5185358_AA-Custom_foot_base.stp,0.0,,
310,7221906,[7221906]  000793263.step,0.0,,
311,7087454,[7087454]  RD032-M0014-00.STEP,0.0,,
312,7077759,[7077759]  Cover mount.STEP,0.0,,
313,7078399,[7078399]  Gantry.STEP,0.0,,
314,7079807,[7079807]  motor to rails.STEP,0.0,,
315,7080456,[7080456]  Probe_Mount.STEP,0.0,,
316,7083905,[7083905]  Printbed.STEP,0.0,,
317,7088857,[7088857]  P1517-M2110-00.stp,0.0,,
318,7089998,[7089998]  P1517-M2210-00.stp,0.0,,
319,7090555,[7090555]  P1517-M2310-00.stp,0.0,,
320,7091508,[7091508]  P1517-M2410-00.stp,0.0,,
321,7093677,[7093677]  P1517-M1012-00.stp,0.0,,
322,7095500,[7095500]  P1517-M1022-00.stp,0.0,,
323,7099380,[7099380]  P1517-M1054-00.stp,0.0,,
324,7100719,[7100719]  P1517-M1055-00.stp,0.0,,
325,7104151,[7104151]  P1517-M1161-00.stp,0.0,,
326,7105575,[7105575]  P1517-M1162-00.stp,0.0,,
327,7106120,[7106120]  P1517-M1355-00.stp,0.0,,
328,7107628,[7107628]  P1517-M1361-00.stp,0.0,,
329,7108158,[7108158]  P1517-M1362-00.stp,0.0,,
330,7109179,[7109179]  P1517-M1461-00.stp,0.0,,
331,7110338,[7110338]  P1517-M1462-00.stp,0.0,,
332,Mal-130 wz 04,[Mal-130 wz 04]  Lagerhuis,0.0,,
333,staal S235JRC blank plat 50x25,staal S235JRC blank plat 50x25,0.0,,
334,7131942,[7131942]  P1517-M1051-01.stp,0.0,,
335,7118288,[7118288]  Shortside rib.STEP,0.0,,
336,7119603,[7119603]  End rib.STEP,0.0,,
337,7120354,[7120354]  Connection strip.STEP,0.0,,
338,7121703,[7121703]  Straight segment V-track.STEP,0.0,,
339,7122309,[7122309]  Curved segment V-track.STEP,0.0,,
