OperationID,Name,ProcessTime
343,BW - Benchwork _ Hinge Block LM,0
344,Packaging _ Hinge Block LM,0
345,Material prep _ Hinge block fixed LM,0
346,Milling _ Hinge block fixed LM,0
347,BW - Benchwork _ Hinge block fixed LM,0
348,Packaging _ Hinge block fixed LM,0
349,Picking _ Interface hinge block fixed RF,0
350,Milling _ Interface hinge block fixed RF,0
351,BW - Benchwork _ Interface hinge block fixed RF,0
352,Nickel platin_ Interface hinge block fixed RF,0
353,Packaging _ Interface hinge block fixed RF,0
354,Material prep _ IH HINGE BRACKET TOP HINGE,0
355,Milling _ IH HINGE BRACKET TOP HINGE,0
356,BW - Benchwork _ IH HINGE BRACKET TOP HINGE,0
357,Packaging _ IH HINGE BRACKET TOP HINGE,0
358,Material prep _ YS gripper detect mirro block,0
359,Milling _ YS gripper detect mirro block,0
360,BW - Benchwork _ YS gripper detect mirro block,0
361,Packaging _ YS gripper detect mirro block,0
362,Picking _ Support beam LM,0
363,Milling _ Support beam LM,0
364,BW - Benchwork _ Support beam LM,0
365,Nickel platin_ Support beam LM,0
366,Packaging _ Support beam LM,0
367,Material prep _ NXE wsmr 2 Fan guide rail,0
368,Milling _ NXE wsmr 2 Fan guide rail,0
369,BW - Benchwork _ NXE wsmr 2 Fan guide rail,0
370,Packaging _ NXE wsmr 2 Fan guide rail,0
371,Material prep _ Divider plate 6HE Special,0
372,Milling _ Divider plate 6HE Special,0
373,BW - Benchwork _ Divider plate 6HE Special,0
374,Packaging _ Divider plate 6HE Special,0
375,Material prep _ NXT WS MK41 DC TEMP CONN PLATE,0
376,Milling _ NXT WS MK41 DC TEMP CONN PLATE,0
377,BW - Benchwork _ NXT WS MK41 DC TEMP CONN PLATE,0
378,Packaging _ NXT WS MK41 DC TEMP CONN PLATE,0
379,Cleanin_ NXT WS MK41 DC TEMP CONN PLATE,0
380,Material prep _ Gpas preamp CB Box + cover assy,0
381,Milling _ Gpas preamp CB Box + cover assy,0
382,BW - Benchwork _ Gpas preamp CB Box + cover assy,0
383,Packaging _ Gpas preamp CB Box + cover assy,0
384,Material prep _ Pipe clamp exhaust FW 1980,0
385,Milling _ Pipe clamp exhaust FW 1980,0
386,BW - Benchwork _ Pipe clamp exhaust FW 1980,0
387,Packaging _ Pipe clamp exhaust FW 1980,0
388,Material prep _ Non loosable block M4,0
389,Milling _ Non loosable block M4,0
390,BW - Benchwork _ Non loosable block M4,0
391,Packaging _ Non loosable block M4,0
392,Material prep _ Non loosable block M5,0
393,Milling _ Non loosable block M5,0
394,BW - Benchwork _ Non loosable block M5,0
395,Packaging _ Non loosable block M5,0
396,Material prep _ Exhaust fw bridge 1980,0
397,Milling _ Exhaust fw bridge 1980,0
398,Anodisin_ Exhaust fw bridge 1980,0
399,Packaging _ Exhaust fw bridge 1980,0
400,Material prep _ NXE HP SL SLEC EOM CP ARM BACK,0
401,Milling _ NXE HP SL SLEC EOM CP ARM BACK,0
402,BW - Benchwork _ NXE HP SL SLEC EOM CP ARM BACK,0
403,Packaging _ NXE HP SL SLEC EOM CP ARM BACK,0
404,Material prep _ Distance Bush 1,0
405,Milling _ Distance Bush 1,0
406,BW - Benchwork _ Distance Bush 1,0
407,Packaging _ Distance Bush 1,0
408,Milling _ LSPH Bellow Clamp,0
409,BW - Benchwork _ LSPH Bellow Clamp,0
410,Packaging _ LSPH Bellow Clamp,0
411,Material prep _ LSPH coverplate stud block,0
412,Milling _ LSPH coverplate stud block,0
413,BW - Benchwork _ LSPH coverplate stud block,0
414,Anodisin_ LSPH coverplate stud block,0
415,Packaging _ LSPH coverplate stud block,0
416,Material prep _ Bpam cover,0
417,BW - Benchwork _ Bpam cover,0
418,Milling _ Bpam cover,0
419,Packaging _ Bpam cover,0
420,Material prep _ Bpam front 1,0
421,Milling _ Bpam front 1,0
422,Packaging _ Bpam front 1,0
423,Material prep _ Bpam front 2,0
424,Milling _ Bpam front 2,0
425,Packaging _ Bpam front 2,0
426,Material prep _ Serv Mech Hinge Bracket Low,0
427,Milling _ Serv Mech Hinge Bracket Low,0
428,BW - Benchwork _ Serv Mech Hinge Bracket Low,0
429,Nickel platin_ Serv Mech Hinge Bracket Low,0
