ORDERID;PN;SALESORDER;ITEM;SCHEDULELINE;ORDERTYPE;SPLITDELIVERY;REQUESTEDDATE;CONFIRMEDDATE;REQUESTEDQUANTITY;OPENQUANTITY;FLAG
22180-20-1;6774-1400-0701;0000022180;000020;1;S;NULL;2022-01-06;2022-02-24;100;100;U
22180-50-1;6774-1300-8704;0000022180;000050;1;S;NULL;2022-01-10;2022-03-31;50;50;U
22180-60-1;6774-1200-0006;0000022180;000060;1;S;NULL;2022-01-10;2022-04-14;100;100;U
22180-70-1;6774-1400-0701;0000022180;000070;1;S;NULL;2022-01-17;2022-02-24;100;100;U
22192-20-1;6932-1902-7103;0000022192;000020;1;S;NULL;2022-02-03;2022-02-10;500;500;U
22196-10-1;6337-1600-0206;0000022196;000010;1;S;NULL;2022-02-14;2022-02-14;200;200;U
22203-20-1;6337-1200-8507;0000022203;000020;1;S;NULL;2022-02-21;2022-02-21;600;600;U
22204-20-1;6337-1000-0012;0000022204;000020;1;S;NULL;2022-02-07;2022-03-14;400;400;U
22205-10-1;6337-1400-0622;0000022205;000010;1;S;NULL;2022-02-07;2022-02-14;200;200;U
22208-10-1;6782-2100-3103;0000022208;000010;1;S;NULL;2022-01-10;2022-01-10;50;50;U
22208-20-1;6782-2100-3203;0000022208;000020;1;S;NULL;2022-01-10;2022-01-10;100;100;U
22208-30-1;6782-2100-3303;0000022208;000030;1;S;NULL;2022-01-10;2022-01-10;150;150;U
22208-50-1;6782-1401-0103;0000022208;000050;1;S;NULL;2022-01-10;2022-01-10;1224;1224;U
22228-10-1;6782-2100-3203;0000022228;000010;1;S;X;2023-02-27;2023-02-27;192;192;U
22232-10-1;6410-0700-2807;0000022232;000010;1;S;NULL;2021-12-13;2022-05-27;50;50;U
22232-20-1;6410-0700-2807;0000022232;000020;1;S;NULL;2022-03-30;2022-05-27;50;50;U
22435-10-1;6782-1900-0600;0000022435;000010;1;S;X;2023-10-20;2023-10-20;1500;1500;U
22440-10-1;6808-1501-0104;0000022440;000010;1;S;NULL;2022-06-23;2022-06-23;100;100;U
22441-50-1;6539-0900-1107;0000022441;000050;1;S;NULL;2022-01-06;2022-02-03;2200;2200;U
22442-20-1;6539-1900-0001;0000022442;000020;1;S;NULL;2021-10-07;2022-01-06;500;264;U
22455-10-1;6782-2100-3203;0000022455;000010;1;S;X;2022-11-29;2022-11-29;600;600;U
22696-10-1;6318-2000-0504;0000022696;000010;1;S;NULL;2022-06-08;2022-06-08;100;100;U
22697-11-1;6318-1600-0802;0000022697;000011;1;S;NULL;2022-01-10;2022-03-23;100;100;U
22697-31-1;6318-1600-0802;0000022697;000031;1;S;NULL;2022-03-09;2022-03-23;100;100;U
22697-41-1;6318-1600-0802;0000022697;000041;1;S;NULL;2022-04-12;2022-04-12;100;100;U
22697-51-1;6318-1600-0802;0000022697;000051;1;S;NULL;2022-05-11;2022-05-11;100;100;U
22697-61-1;6318-1600-0802;0000022697;000061;1;S;NULL;2022-06-08;2022-06-08;100;100;U
22697-81-1;6318-1600-0802;0000022697;000081;1;S;NULL;2022-08-10;2022-08-10;100;100;U
22699-20-1;6043-2101-4100;0000022699;000020;1;S;X;2022-01-06;2022-02-04;1;1;U
22699-30-1;6043-2101-4300;0000022699;000030;1;S;X;2022-01-06;2022-02-04;2;2;U
22699-40-1;6043-2101-4700;0000022699;000040;1;S;X;2022-01-06;2022-02-04;1;1;U
22699-50-1;6043-2101-4500;0000022699;000050;1;S;X;2022-01-06;2022-02-04;1;1;U
22699-60-1;6043-2101-4900;0000022699;000060;1;S;X;2022-01-06;2022-02-04;1;1;U
22727-10-1;6799-1300-0026;0000022727;000010;1;S;X;2022-03-03;2022-03-24;288;288;U
22728-40-1;6043-2101-4700;0000022728;000040;1;S;X;2022-01-06;2022-02-04;1;1;U
22728-50-1;6043-2101-4500;0000022728;000050;1;S;X;2022-01-06;2022-02-04;1;1;U
22728-60-1;6043-2101-4900;0000022728;000060;1;S;X;2022-01-06;2022-02-04;1;1;U
22731-10-1;6047-1800-7906;0000022731;000010;1;S;NULL;2022-01-06;2022-02-15;30;30;U
22747-40-1;6782-2100-3303;0000022747;000040;1;S;X;2022-07-01;2022-07-01;250;250;U
