"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"","","","","","","Packaging (VERP_P)","1.0"
"[1202211B] fixing block, actuator","[1202211B] fixing block, actuator","[5602-0000-0037] RVS 304/304L wgw plat 25x20","mm","30.0","mm","Sawing","1.0"
"","","","","","","Milling (FR5_01)","0.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1202461A] intercon.panel,R-STEM","[1202461A] intercon.panel,R-STEM","[5601-0000-0073] ALU 6082 T651 (wgw) gzgd plaat 500x300x15","Pcs","1.0","Pcs","Milling","25.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[1207568A] Cable clamp","[1207568A] Cable clamp","[5606-0000-0002] PTFE Staf FG-10/2011 XT Wit Ø10","mm","100.0","mm","Milling - OP1","20.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[349520-8007-000-0107] BYPASS (BLOK)","[349520-8007-000-0107] BYPASS (BLOK)","[5602-0000-0012] RVS 304/304L wgw vk 60","mm","64.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","50.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-290-63221-D] Excenter housing z","[4022-290-63221-D] Excenter housing z","[5601-0000-0012] ALU 6082 T6 plat 60x40","mm","68.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","50.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-290-63321F] Bearing housing spindle (rev F)","[4022-290-63321F] Bearing housing spindle (rev F)","[5601-0000-0116] ALU 6082 T6 vk 80","mm","48.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_02)","1.0"
"","","","","","","Milling (FR5_01)","45.0"
"","","","","","","Milling (FR5_01)","4.0"
"","","","","","","BW - Benchwork (BKW_01)","4.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-11506] lagerblok","[4022-333-11506] lagerblok","[5602-0000-0041] RVS 430F blank rond 50h9","mm","20.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR5_01)","21.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-13805] dr pnt cilinder","[4022-333-13805] dr pnt cilinder","[5603-0000-0014] STAAL 11SMn30+C/9SMn28K blank vk 50","mm","12.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","15.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Passivating","2250.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-19505] BRIL","[4022-333-19505] BRIL","[5990-0000-0014] EPRATEX PF CC201 180x140x10","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-40501] DUMMY KRISTAL","[4022-333-40501] DUMMY KRISTAL","[5601-0000-0108] ALU 6060 plat 40x6","mm","65.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_02)","1.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-58172] KIJKERHOUDER","[4022-333-58172] KIJKERHOUDER","[5601-0000-0009] ALU 6082 T6 vk 50","mm","103.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","10.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Anodising","2250.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-333-58791] Filterhouder Cu 0.1","[4022-333-58791] Filterhouder Cu 0.1","[5604-0000-0005] MESSING CuZn40Pb3 plat 16x2","mm","91.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-335-17991] Filterh. Cu0.2 Ni0.02","[4022-335-17991] Filterh. Cu0.2 Ni0.02","[5604-0000-0005] MESSING CuZn40Pb3 plat 16x2","mm","91.0","mm","Material prep (ZGN_02)","1.0"
"","","","","","","Milling (FR4-01)","3.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-335-71012] filter holder","[4022-335-71012] filter holder","[5604-0000-0004] MESSING CuZn40Pb2 plat 20x10","mm","40.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","6.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-337-30992] HOLDER FOR SHUTTER","[4022-337-30992] HOLDER FOR SHUTTER","[5602-0000-0040] RVS 430F blank rond 16h9","mm","54.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","3.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-337-33842] arret holder","[4022-337-33842] arret holder","[5602-0000-0041] RVS 430F blank rond 50h9","mm","33.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","25.0"
"","","","","","","Milling (FR3_01)","8.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-454-25012] RING","[4022-454-25012] RING","[5601-0000-0019] ALU 6082 gzgd plaat 400x400x20","Pcs","1.0","Pcs","Picking (UITG_M)","0.0"
"","","","","","","Milling (FR3_01)","15.0"
"","","","","","","Milling (FR3_01)","25.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Nickel plating","4500.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-455-01702] Sensorblock","[4022-455-01702] Sensorblock","[5601-0000-0109] ALU 6082 T651 (wgw) gzgd plaat 125x30x84","Pcs","1.0","Pcs","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","50.0"
"","","","","","","Milling (FR4-01)","10.0"
"","","","","","","BW - Benchwork (BKW_01)","3.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-455-09992] POST 2","[4022-455-09992] POST 2","[5602-0000-0003] RVS 304/304L wgw plat 40x30","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","4.0"
"","","","","","","Milling (FR3_01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-455-099943] post 4","[4022-455-099943] post 4","[5602-0000-0037] RVS 304/304L wgw plat 25x20","mm","27.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","4.0"
"","","","","","","Milling (FR4-01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-455-099953] post 5","[4022-455-099953] post 5","[5602-0000-0037] RVS 304/304L wgw plat 25x20","mm","27.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","4.0"
"","","","","","","Milling (FR4-01)","2.0"
"","","","","","","BW - Benchwork (BKW_01)","2.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-455-09997-3] post 7","[4022-455-09997-3] post 7","[5602-0000-0010] RVS 304/304L wgw plat 40x20","mm","21.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR4-01)","6.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-456-08803] LENSGAS INTERFACE BLOCK","[4022-456-08803] LENSGAS INTERFACE BLOCK","[5602-0000-0041] RVS 430F blank rond 50h9","mm","20.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR3_01)","1.0"
"","","","","","","Milling (FR5_02)","20.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","1.0"
"","","","","","","Packaging (VERP_P)","1.0"
"[4022-470-85441] 1/2TE Compens Guide 160mm","[4022-470-85441] 1/2TE Compens Guide 160mm","[5601-0000-0016] ALU 6082 T6 plat 25x15","mm","146.0","mm","Material prep (ZGN_01)","1.0"
