"Product","Reference","BoM Lines/Component","BoM Lines/Component/Unit of Measure","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","BoM Lines/Operations","BoM Lines/Operations/Duration"
"[7268468] P1464-M2016-00.stp","M24","[5601-0000-0032] ALU 6082 T651 (wgw) gzgd plaat 125x50","mm","155.0","mm","Sawing","1.0"
"","","","","","","Milling","61.0"
"[7269980] P1464-M2017-00.stp","M24","[5601-0000-0031] ALU 6082 T651 (wgw) gzgd plaat 100x50","mm","85.0","mm","Sawing","1.0"
"[7270733] P1464-M2018-00.stp","M24","[5601-0000-0034] ALU 6082 T651 (wgw) gzgd plaat 175x50","mm","355.0","mm","Sawing","1.0"
"[7271654] P1464-M2020-00.stp","M24","[5601-0000-0010] ALU 6082 T6 vk 70","mm","70.0","mm","Sawing","1.0"
"","","","","","","Milling","38.0"
"[7272248] P1464-M2025-00.stp","M24","[5601-0000-0025] ALU 6082 T651 (wgw) gzgd plaat 125x30","mm","255.0","mm","Sawing","1.0"
"[7273889] P1464-M2029-00.stp","M24","","","","","",""
"[7274976] P1464-M2031-00.stp","M24","[5601-0000-0024] ALU 6082 T651 (wgw) gzgd plaat 100x30","mm","150.0","mm","Sawing","1.0"
"[7275100] P1464-M2045-00.stp","M24","[5601-0000-0168] ALU 6082 T651 (wgw) gzgd plaat 465x275x20","Pcs","1.0","Pcs","Picking, pre--cutted","1.0"
"[7276589] P1464-M2054-00.stp","M24","[5601-0000-0169] ALU 6082 T651 (wgw) gzgd plaat 325x275x20","Pcs","1.0","Pcs","Picking","1.0"
"[7277682] P1464-M2055-00.stp","M24","[5601-0000-0167] ALU 6082 T651 (wgw) gzgd plaat 395x250x20","Pcs","1.0","Pcs","Picking, pre-cutted","1.0"
"","","","","","","Milling - OP1","36.0"
"","","","","","","Milling - OP2","63.0"
"[7278476] P1464-M2057-00.stp","M24","[5601-0000-0032] ALU 6082 T651 (wgw) gzgd plaat 125x50","mm","390.0","mm","Sawing","1.0"
"","","","","","","Milling","0.0"
"[7279297] P1464-M2059-00.stp","M24","[5601-0000-0024] ALU 6082 T651 (wgw) gzgd plaat 100x30","mm","185.0","mm","Sawing","60.0"
"[7282747] P1464-M2066-00.stp","M24","[5601-0000-0024] ALU 6082 T651 (wgw) gzgd plaat 100x30","mm","40.0","mm","Sawing","1.0"
"[7283800] P1464-M3103-00.stp","M24","[5601-0000-0025] ALU 6082 T651 (wgw) gzgd plaat 125x30","mm","185.0","mm","Sawing","1.0"
"[7284774] P1464-M3105-00.stp","M24","[5601-0000-0024] ALU 6082 T651 (wgw) gzgd plaat 100x30","mm","90.0","mm","Sawing","60.0"
"[7285159] P1464-M3203-00.stp","M24","[5601-0000-0010] ALU 6082 T6 vk 70","mm","20.0","mm","Sawing","60.0"
"[7286825] P1464-M3204-00.stp","M24","[5601-0000-0024] ALU 6082 T651 (wgw) gzgd plaat 100x30","mm","220.0","mm","Sawing","1.0"
"[7287806] P1464-M4001-00.stp","M24","[5601-0000-0029] ALU 6082 T651 (wgw) gzgd plaat 50x50","mm","250.0","mm","Sawing","1.0"
"[7288826] P1464-M4011-00.stp","M24","[5601-0000-0036] ALU 6082 T651 (wgw) gzgd plaat 200x15","mm","360.0","mm","Sawing","1.0"
"[7289337] P1464-M2068-00.stp","M24","[5605-0000-0015] POM-C zwart gzgd plaat 100x50","mm","55.0","mm","Sawing","60.0"
"","","","","","","Milling","11.0"
"[7290605] P1464-M3030-00.stp","M24","[5605-0000-0013] POM-C zwart gzgd plaat 150x30","mm","255.0","mm","Sawing","1.0"
"","","","","","","Milling - OP1","60.0"
"","","","","","","Milling - OP2","24.0"
"[7291692] P1464-M3055-00.stp","M24","[5605-0000-0003] POM-C wit/naturel gzgd plaat 100x30","mm","325.0","mm","Sawing","1.0"
"","","","","","","Milling","67.0"
"[7292240] P1464-M3201-00.stp","M24","[5605-0000-0003] POM-C wit/naturel gzgd plaat 100x30","mm","40.0","mm","Sawing","1.0"
"[7302598] P1464-M1012-00.stp","M24","[5601-0000-0013] ALU 6082 T6 vk 60","mm","50.0","mm","Sawing","1.0"
"","","","","","","Milling","24.0"
"[7308680] P1464-M1022-00.stp","M24","[5605-0000-0003] POM-C wit/naturel gzgd plaat 100x30","mm","195.0","mm","Sawing","1.0"
"[4022.684.31711] RH RED RZ STOP LEFT MOUNT","[4022.684.31711] RH RED RZ STOP LEFT MOUNT","[5602-0000-0050] RVS 316L wgw plat 80x40","mm","45.0","mm","",""
"[4022.684.31741] RH RED RZ STOP RIGHT MOUNT","[4022.684.31741] RH RED RZ STOP RIGHT MOUNT","[5602-0000-0050] RVS 316L wgw plat 80x40","mm","45.0","mm","",""
"[7258936] Prototype2-fixture-Main-bottom.STEP","YNQ","[5601-0000-0031] ALU 6082 T651 (wgw) gzgd plaat 100x50","mm","50.0","mm","",""
"[7259858] Prototype2-fixture-Main-top.STEP","YNQ","[5601-0000-0026] ALU 6082 T651 (wgw) gzgd plaat 150x30","mm","60.0","mm","Milling","53.0"
"[7260713] Prototype2-fixture-support.STEP","YNQ","[5601-0000-0023] ALU 6082 T651 (wgw) gzgd plaat 75x30","mm","100.0","mm","",""
"[7313890] P1464-M5006-00.stp","M24","[5601-0000-0023] ALU 6082 T651 (wgw) gzgd plaat 75x30","mm","55.0","mm","Sawing","1.0"
"[7314593] P1464-M2060-01.stp","M24","[5601-0000-0025] ALU 6082 T651 (wgw) gzgd plaat 125x30","mm","220.0","mm","Sawing","1.0"
"[7005-2480-0120] ENCODER MOUNT PLATE / 0119073002","[7005-2480-0120] ENCODER MOUNT PLATE / 0119073002","[5602-0000-0031] RVS 316L wgw plat 80x20","mm","82.0","mm","Milling","43.0"
"[7005-2580-0006] GP Z-Adjustment Lever / 26241001","[7005-2580-0006] GP Z-Adjustment Lever / 26241001","[5602-0000-0051] RVS 304/304L wgw plat 90x20","mm","125.0","mm","Sawing","1.0"
"","","","","","","Milling","115.0"
"[7005-2580-0007] Support block / 07201506","[7005-2580-0007] Support block / 07201506","[5602-0000-0052] RVS 304/304L wgw plat 120x60","mm","230.0","mm","Sawing","1.0"
"[26251090 PEU Filter Holder R V] PEU Quick Release RIGHT","M24","[5605-0000-0013] POM-C zwart gzgd plaat 150x30","mm","80.0","mm","Sawing 1","1.0"
"","","","","","","Sawing 2","1.0"
"","","","","","","Milling - OP1","18.0"
"","","","","","","Milling - OP2","33.0"
"[26251091 PEU Filter Holder L V] PEU Quick Release LEFT","M24","[5605-0000-0013] POM-C zwart gzgd plaat 150x30","mm","80.0","mm","Sawing 1","1.0"
"","","","","","","Sawing 2","1.0"
"","","","","","","Milling - OP1","18.0"
"","","","","","","Milling - OP2","33.0"
"[7005-2400-0100] 02200903 encoder scale mount bracket V01-01 electropolished / 02200903 V01-01","[7005-2400-0100] 02200903 encoder scale mount bracket V01-01 electropolished / 02200903 V01-01","[5602-0000-0031] RVS 316L wgw plat 80x20","mm","11.0","mm","Sawing","60.0"
"[00528-11400-A] RM BM MOT PCA INT MID","[00528-11400-A] RM BM MOT PCA INT MID","[5605-0000-0003] POM-C wit/naturel gzgd plaat 100x30","mm","150.0","mm","Sawing","1.0"
"","","","","","","Milling","52.0"
"[7262799] KR71001001977.stp","YNQ","[5601-0000-0044] ALU 5083 H111 (wgw) gzgd plaat 50x50","mm","70.0","mm","Sawing","1.0"
"","","","","","","Milling","40.0"
"[10007434A] coil clamp body pin side","[10007434A] coil clamp body pin side","[5601-0000-0023] ALU 6082 T651 (wgw) gzgd plaat 75x30","mm","85.0","mm","Sawing","1.0"
"","","","","","","Milling","59.0"
"[10007432A] coil clamp body threaded side","[10007432A] coil clamp body threaded side","[5601-0000-0023] ALU 6082 T651 (wgw) gzgd plaat 75x30","mm","85.0","mm","Sawing","1.0"
"","","","","","","Milling","57.0"
"[00528-02746-A] hoisting bridge","New BoM from TBRM /MO/00429","[5602-0000-0054] RVS 316L wgw geschild rond 390","mm","90.0","mm","",""
"[00528-02720-A] leaf spring middle interface","New BoM from TBRM /MO/00428","[5602-0000-0053] RVS 304/304L wgw geschild rond 110","mm","140.0","mm","",""
"[10005158B] gearbox side cover","[10005158B] gearbox side cover","[5601-0000-0170] Alu 5083 gegoten 6 zijdig gezaagd 465x300x50 ","Pcs","1.0","Pcs","Picking (pre-cutted)","1.0"
"","","","","","","Milling","340.0"
"[10007537A] bearing block small","[10007537A] bearing block small","[5601-0000-0031] ALU 6082 T651 (wgw) gzgd plaat 100x50","mm","70.0","mm","Sawing","1.0"
"","","","","","","Milling","93.0"
"[104009586] HALFFAB_M_BLOCK_RH_LEFT","[104009586] HALFFAB_M_BLOCK_RH_LEFT","[5603-0000-0020] STAAL S355J2 rond Ø180","mm","365.0","mm","Picking, pre-cutted","1.0"
"[104009581] HALFFAB_M_BLOCK_RH_RIGHT","[104009581] HALFFAB_M_BLOCK_RH_RIGHT","[5603-0000-0020] STAAL S355J2 rond Ø180","mm","365.0","mm","Picking, pre-cutted","1.0"
"[104009583] HALFFAB_M_MOUNTING_BLCK_FRNT_R","[104009583] HALFFAB_M_MOUNTING_BLCK_FRNT_R","[5603-0000-0021] STAAL S355J2 rond Ø130","mm","345.0","mm","Picking, pre-cutted","1.0"
"[104009584] HALFFAB_M_MOUNTING_BLCK_FRNT_L","[104009584] HALFFAB_M_MOUNTING_BLCK_FRNT_L","[5603-0000-0021] STAAL S355J2 rond Ø130","mm","345.0","mm","Picking, pre-cutted","1.0"
"[7005-2540-0001] C beam v01-03 / 07201507","[7005-2540-0001] C beam v01-03 / 07201507","[5602-0000-0055] Seamless tube AISI30 4x40x40x400","Pcs","1.0","Pcs","Picking","1.0"
"[4022.644.3272] NXE RH Gripper LVL Tool Base","[4022.644.3272] NXE RH Gripper LVL Tool Base","[5601-0000-0103] ALU 6082 T651 (wgw) gzgd plaat 255x225x25","Pcs","1.0","Pcs","Picking, pre-cutted","1.0"
"[4022.644.9779] NXE NH Gripper LVL Tool Cover","[4022.644.9779] NXE NH Gripper LVL Tool Cover","[5601-0000-0104] ALU 6082 T651 (wgw) gzgd plaat 255x225x8","Pcs","1.0","Pcs","Picking, pre-cutted","1.0"
"[10007433A] RMFT Y-actuator power plug","[10007433A] RMFT Y-actuator power plug","[5608-0000-0003] PEEK Staf Naturel Ø50","mm","42.0","mm","Sawing","1.0"
"P1464-M5004-01","P1464-M5004-01","[5601-0000-0025] ALU 6082 T651 (wgw) gzgd plaat 125x30","mm","290.0","mm","Sawing","1.0"
"P1464-M5024-00","P1464-M5024-00","[5605-0000-0003] POM-C wit/naturel gzgd plaat 100x30","mm","255.0","mm","Sawing","1.0"
"P1464-M5025-00","P1464-M5025-00","[5602-0000-0056] RVS 304/304L wgw plat 80x20","mm","43.0","mm","Sawing","1.0"
"[1508130 B] [Q] excenter housing z","","[5601-0000-0012] ALU 6082 T6 plat 60x40","mm","68.0","mm","Material prep (ZGN_01)","1.0"
"","","","","","","Milling (FR5_01)","50.0"
"","","","","","","Milling (FR3_01)","5.0"
"","","","","","","BW - Benchwork (BKW_01)","5.0"
"","","","","","","Packaging (VERP_P)","1.0"
